,b1,b2,b3,b4,M,R,C,accuracy,b1_base,b2_base,b3_base,b4_base,M_base,R_base,C_base,accuracy_base
0,0.36667457356716,0.23232171509423655,0.1554230388657238,0.108430756921436,0.16475085319610322,0.2988118082537028,0.38831419027194597,0.841220238095238,0.33236111111109573,0.18966895752063995,0.11143829050947199,0.0695061011890786,0.16218012558937234,0.23000929446429302,0.09648849886089161,0.9058035714285714
1,0.3579342686680312,0.22511840855291013,0.14810142639297644,0.1001804333284518,0.1611223585367869,0.2926945975555013,0.34020310172795665,0.8501488095238096,0.32749999999998486,0.18478527157461955,0.10624805933836269,0.06537364744781189,0.15756393525660276,0.225823747659376,0.07402382434584545,0.9002976190476191
2,0.35272927079669036,0.22078856529539478,0.1454986823695347,0.0980114576777374,0.15719982425164003,0.2867970922193648,0.30737355818781986,0.8495535714285715,0.3334722222222068,0.18902757020041303,0.11099989484254522,0.06904472359123541,0.1563666357631523,0.22296488532854794,0.08907796974937579,0.9041666666666667
3,0.37406412204034034,0.2349820989321486,0.1546193565822693,0.1030658983153488,0.16540785147996712,0.2980591090535139,0.29634115132127015,0.8498511904761905,0.3314814814814661,0.1898316490851432,0.1115487973216498,0.0706078256501349,0.16442292944119904,0.22675773397284538,0.11764342531606585,0.9066964285714286
4,0.3620537237166228,0.22745561622739424,0.14938359708606105,0.09940533047686846,0.1608192791409465,0.29185320846352486,0.28537167442811434,0.8522321428571429,0.331620370370355,0.18666044385407513,0.10735764016803123,0.06386227833908875,0.16030074949338433,0.22598367677778478,0.05323064678129075,0.9078869047619048
5,0.36340693728979,0.22758438434870631,0.15128897918002152,0.10421663450443842,0.16110831677261012,0.29405934149548335,0.32440352971712133,0.8507440476190476,0.3324537037036883,0.18571193694382035,0.10470696250777019,0.06250183059125589,0.16012479696374107,0.2234875509199626,0.05803116991941894,0.9063988095238096
6,0.3558424180881956,0.22001991001641372,0.14142408701104386,0.09166582627731679,0.15901419124213498,0.2865972813099185,0.26767158217689546,0.8449404761904762,0.3249074074073924,0.18076323526154087,0.1017797975062328,0.060371502439122975,0.15294756346548402,0.21949817693921267,0.056057914875359945,0.9077380952380952
7,0.3554433505160002,0.22594807621278357,0.15001314450228256,0.10089334566503977,0.1615604472107202,0.29867620191212463,0.3348454214359146,0.8491071428571428,0.33916666666665096,0.1979495586703191,0.11852218757307947,0.07674311702445726,0.16363894511653504,0.2288797947282511,0.13314513699751246,0.9061011904761904
8,0.3742356355798417,0.23989859312714712,0.16184359968889028,0.11209157971405095,0.1685931817445327,0.30233033844191476,0.371828766483914,0.8474702380952381,0.3278240740740589,0.18824628768008514,0.10850223757992589,0.06580809463265558,0.1633717866169381,0.22930849513135007,0.052726161558389203,0.9056547619047619
9,0.3767741215863192,0.23855208086406401,0.15830820338544394,0.1069894975125078,0.16595625760452412,0.296796088659144,0.3017145711143526,0.8532738095238095,0.33833333333331767,0.19452050280136915,0.11478672739201548,0.07326202688370452,0.1665103800173881,0.23090098736389778,0.1287881490770859,0.9130952380952381
10,0.37024982514021726,0.23977010872437343,0.1649400523612324,0.11699012027121598,0.16662849599471588,0.30345452896360287,0.3986612414485445,0.8517857142857143,0.33226851851850314,0.18885278802185423,0.11031960776560179,0.06888046573309982,0.15982685259180296,0.22657579884867354,0.06551550156617722,0.908779761904762
