,b1,b2,b3,b4,M,R,C,accuracy
0,0.3442825388984651,0.23358355925713636,0.16346473470342815,0.11249636880431516,0.18927818148249903,0.27969674742552897,0.0922683617132706,0.8738095238095238
1,0.32836803555260236,0.22121038101267082,0.1545237373491374,0.10666242165167598,0.1811284242787102,0.2638569870979541,0.12899477311150212,0.8657738095238096
2,0.3441747977649617,0.2282012390405041,0.15648358395133946,0.10473981228683132,0.18624564733648108,0.27200658796760746,0.0768689314043858,0.8794642857142857
3,0.34195810032548685,0.22692118050010515,0.15507905841326747,0.10286077733847657,0.18449198532755093,0.27185968911749386,0.0865094894281648,0.8791666666666667
4,0.3406109912003702,0.2300890621582672,0.16060255360936437,0.10977231473487441,0.18820239349348927,0.27974713932822165,0.09080147031847398,0.8809523809523809
5,0.3342315858239152,0.21856630837628493,0.14596725912395608,0.09331436736684491,0.18129683898568688,0.26728292678717785,0.09342998675377687,0.8735119047619048
6,0.34395383843449207,0.23201870530542676,0.1613123449044215,0.11028139290022496,0.1822219653412728,0.271982740661642,0.09567309534123133,0.8705357142857143
7,0.3375010419271203,0.2247099067884545,0.1525051575650493,0.10250422879198468,0.18023372623346492,0.2692577203208492,0.08445312776064012,0.8696428571428572
8,0.34718520986006435,0.23210241789629396,0.15966430645589344,0.10790674448256679,0.18469683975311182,0.2760667811585366,0.08541207286885608,0.8675595238095238
9,0.338597074468057,0.2275967897531283,0.1549089599576114,0.10165842918316031,0.18612443572102533,0.27351855915134055,0.06577668550475622,0.8824404761904762
10,0.35327211053194724,0.23752594152706608,0.16318486516289357,0.10912943836865029,0.19236179547194096,0.28231591808275197,0.07859979455418585,0.8738095238095238
11,0.347538513060922,0.23086948769219698,0.15804042798218992,0.10585375957989818,0.1829054178810349,0.2711587429818284,0.08185167043647963,0.8770833333333333
12,0.3380116959064045,0.2240479287166601,0.15319828058484802,0.10356855402058165,0.17825765335882418,0.26895251288574246,0.08043256412990196,0.8776785714285714
13,0.3429378061944413,0.2319700789295924,0.1616095052221713,0.1098762902706896,0.1923562171139384,0.2808737127529699,0.06169417278287823,0.8833333333333333
14,0.33055975794248355,0.21793168217397932,0.14816734045351462,0.09906730215988355,0.17864126131552255,0.26600601450034045,0.07462094619607577,0.8729166666666667
15,0.33673973957472086,0.22618421606601882,0.15570982234182737,0.10438813823098816,0.1859662818074223,0.2774796112060668,0.07217579186096049,0.875297619047619
16,0.3422139785852506,0.22765828297072643,0.1545737634598059,0.10250188463326693,0.17829102096349236,0.2618011491286063,0.09826867298642107,0.8654761904761905
17,0.34503779565956716,0.23269174600709006,0.16145441529568683,0.1102081440959121,0.1835732360318582,0.27424344360229636,0.09857133858445828,0.861904761904762
18,0.32833534864971153,0.22120842630195048,0.15254115040879662,0.1021183621129545,0.1831183861717333,0.26969129859030033,0.08355284382546353,0.8845238095238095
19,0.3360932747549564,0.2247628350111028,0.1552410381035147,0.10549447709620084,0.17792731700009423,0.2679060466264018,0.08001063510341087,0.8666666666666667
20,0.3268834911485939,0.21700205975285983,0.14787400261544134,0.09778121957655944,0.1814140072682863,0.2697736109673083,0.056105236119610276,0.8761904761904762
21,0.3467510548522914,0.2303107800760978,0.15963502488358275,0.10919675872943889,0.18101644032023995,0.2706965422207466,0.08120236230865814,0.8690476190476191
22,0.34135812717911823,0.22838732652169505,0.15772239216798048,0.10567603314136206,0.1815100423533238,0.2742233024259747,0.06316735072736258,0.8738095238095238
23,0.34201954397391277,0.22880952136252183,0.15745817016351413,0.10459516134008488,0.18361302186345024,0.2700801792902937,0.09685313216189809,0.8678571428571429
24,0.3441460973982368,0.2311782477044187,0.1598002090292238,0.10844227074884588,0.1866887812342418,0.2753651590504055,0.07188571282345253,0.8627976190476191
25,0.33743862860944185,0.2228971973084182,0.15203216982524073,0.10185441597414112,0.1789550107095928,0.27006925974598633,0.06622211909658547,0.875
26,0.3451814152027298,0.230806394433705,0.15754679806752217,0.1058532116930991,0.18853518588570575,0.2784710882482152,0.07339760195548957,0.8660714285714286
27,0.3288085697930878,0.21446015486200462,0.1446407306198461,0.09562365456562923,0.1705970244487574,0.25766013371561214,0.07583443165964182,0.8633928571428572
28,0.3271344739234377,0.21340896456799913,0.1442652651943524,0.09440324727067129,0.18038681971620793,0.2617317014294155,0.07419194650301389,0.8660714285714286
29,0.34157726639912034,0.2269435619781081,0.15607722341029026,0.10609987815238231,0.18130462309635342,0.2709172678359935,0.07865434065412549,0.8729166666666667
30,0.34613458006342074,0.235578282639979,0.1663663637679885,0.11692648176524714,0.18787490779695676,0.28084333800648253,0.06621578265144887,0.874702380952381
31,0.33155747939729197,0.22332900100965228,0.15753321208644305,0.10861336712475254,0.18409805594028192,0.2689669267486911,0.10778150433860376,0.8744047619047619
32,0.3389172129157288,0.225499819540403,0.15357434367408393,0.10252642888568742,0.18313178504156513,0.2702431134009436,0.08172941018490068,0.8726190476190476
33,0.3402147673353583,0.23140392336183335,0.16166407142410136,0.11004728153556068,0.19098325391834178,0.2825294952960706,0.06504771201841139,0.8767857142857143
34,0.3414917447937989,0.2300040840738395,0.15939925527895474,0.10759356824794998,0.18284437169133358,0.27155821385139184,0.09156137669854283,0.8741071428571429
35,0.3323257766582424,0.22412787657462038,0.1560102340559035,0.10833999296926107,0.1790102253957713,0.2691424925290042,0.07878080623654035,0.8699404761904762
36,0.3422274761462178,0.22777455709889996,0.1560944537056689,0.1058404398113498,0.18101575623126917,0.26761999438547107,0.09350864588691503,0.8660714285714286
37,0.34777488012111146,0.233054995597185,0.16035694035153372,0.10767305558390058,0.1868610577207266,0.27807443264649834,0.08033199282422494,0.8738095238095238
38,0.33085378956935857,0.21899387106419177,0.15117276008907604,0.10189109293601793,0.18344463924994697,0.27279912820833124,0.08437660137305067,0.8839285714285714
39,0.3433974784339463,0.22846331595149974,0.157651486493639,0.10761344253796669,0.1842125833761835,0.2741999523530525,0.09303791541949277,0.8720238095238095
40,0.3470936535734845,0.23064432842920274,0.15913400639695444,0.10887540230134793,0.18624219222626215,0.2753681733183395,0.06365332580967313,0.8755952380952381
41,0.34184955603950895,0.2241298187584195,0.15275437907061487,0.10283762988678051,0.1844387762951087,0.27122946734321357,0.06655983060769669,0.8779761904761905
42,0.3533355682198832,0.23676703326340579,0.16423658327926594,0.11191267602083259,0.18143042690618771,0.27340450279312084,0.08477343294802164,0.868452380952381
43,0.3431703899101193,0.2278564339461241,0.15557460238475235,0.1026905721666378,0.18352042473407632,0.2719359593507998,0.07665207990651582,0.8767857142857143
44,0.3354753666172075,0.22308259648511441,0.1534841665428425,0.10296918225940951,0.1752965175270257,0.26391794120163486,0.08562961495465776,0.8657738095238096
45,0.3362345020116318,0.22219184733481384,0.1510694048794166,0.10071687342799403,0.17296086291386129,0.2621549016819059,0.09220109708356873,0.8639880952380953
46,0.3546708515734406,0.23917360213555974,0.16743094572540182,0.11663692268889313,0.18326456902912094,0.27418938409507704,0.11687752805229608,0.8744047619047619
47,0.34656348810115273,0.23842906136713385,0.16803691907079685,0.11750791035755843,0.19284961155337296,0.28430630353895314,0.09599996587249304,0.8755952380952381
48,0.34003155359957316,0.22992248284924152,0.15910704917756563,0.10845862379977113,0.1855208684117404,0.2732071880300661,0.09162927615870602,0.8702380952380953
49,0.342206919717808,0.2227646950772402,0.14959794367514243,0.09774196444166362,0.17902189805549137,0.2709994567171644,0.0569928577627066,0.8729166666666667
50,0.35639236782379113,0.23795305801808883,0.16579904718096003,0.11412440931502135,0.18877091598388374,0.28109591612493645,0.09946716025755976,0.881547619047619
51,0.34408780974552267,0.2339032295837193,0.16324047690306118,0.11301474515058121,0.18526267744327923,0.2779804197332606,0.09653072442153078,0.8738095238095238
52,0.3386339293070496,0.22337648989762843,0.1528943843359031,0.10231107824902222,0.18348387960872556,0.27008703982208704,0.08732686115872136,0.8607142857142858
53,0.3381561238223134,0.2277693191508252,0.15773591042501572,0.10699938690593601,0.1903287016131099,0.28095390142124305,0.06812967802578124,0.8818452380952381
54,0.34644691071721495,0.2337893497500064,0.16152926723879554,0.10883639413126062,0.18495408899837737,0.2760221679121385,0.09091430940726178,0.8657738095238096
55,0.34273554201783,0.23066588905057836,0.15789258337046033,0.10546505716210697,0.18184560590931528,0.26876001260338384,0.06506285938587221,0.856547619047619
56,0.3419942635397046,0.23009826478162254,0.160125567814891,0.11054687333041051,0.18650191024819587,0.2783623237052427,0.12643073458861248,0.8645833333333334
57,0.33609271523176026,0.22623071172873854,0.15723178599690946,0.10856558734328359,0.18017371556740336,0.27100464150136594,0.0936531207282635,0.8708333333333333
58,0.34108135421927394,0.22914598520272023,0.15898455109232482,0.10908289899406189,0.1848865154184605,0.27642199579512655,0.10398976223627115,0.8794642857142857
59,0.33233830845768386,0.21927015290397814,0.14982300361880063,0.10129492779952916,0.17863912352392458,0.2663813868773219,0.09994561037790456,0.8681547619047619
60,0.3398356437287009,0.2247518332042125,0.15348715242914499,0.10303125096874792,0.1826343624629596,0.272967787830436,0.09890810544628005,0.875297619047619
61,0.35205329285771547,0.23282252762055028,0.16087396960653022,0.11009077279508829,0.18050917642322076,0.2743422713924917,0.07460700422324382,0.8702380952380953
62,0.35314891112416097,0.23549712383929308,0.1617570374054006,0.10989302311379691,0.18842925886404657,0.27914704701875387,0.09304639317239845,0.875
63,0.34205064342047803,0.22894517412006476,0.15725394378495755,0.10536957271530098,0.18557271609110493,0.2738115616720502,0.07092991223570877,0.8785714285714286
64,0.3271677268161762,0.2199340163959454,0.15305188543835793,0.10390265093609781,0.17680000030402782,0.2694347541651687,0.0642141080469151,0.8666666666666667
65,0.33801743841527654,0.22256634841783246,0.15146550841910253,0.10044860209768766,0.17497580682321837,0.25875588093184376,0.08425284548898306,0.8610119047619048
66,0.34773869346730757,0.23257834303835223,0.15883780333125416,0.10692701948555583,0.19462118732903894,0.2778272075423274,0.07365276646573378,0.893452380952381
67,0.34894109861016304,0.2318381879426814,0.159722122715502,0.10873489527885315,0.18098598579429612,0.27248637661377206,0.08716633523600033,0.868452380952381
68,0.3502576034568431,0.23146295366162278,0.15746386360647402,0.10460778410039029,0.17904311986629057,0.26501275895651316,0.07932146188557225,0.8678571428571429
69,0.3500718572998267,0.23279134914206195,0.16007484161647628,0.10854767611609364,0.17995055848806094,0.26935796154814445,0.06781943703128393,0.8806547619047619
