,b1,b2,b3,b4,M,R,C,accuracy
0,0.34151092917154113,0.2184406029501663,0.1485855306113238,0.10312749996242589,0.16063494496695682,0.3124818906560319,0.43699297655322106,0.8586309523809523
1,0.34932564858465276,0.21713862670707954,0.141471928786995,0.0929304038783256,0.1595332085442799,0.29727675064563913,0.2906333929577625,0.8491071428571428
2,0.3356286178405349,0.21688322599378393,0.14812756983821843,0.10523109930145605,0.1604129724412795,0.3200239819756851,0.4805936352012827,0.8639880952380953
3,0.34660472894496114,0.21293055114111098,0.13903194495524424,0.09281772925384549,0.15849313749552843,0.29750957479171,0.21126651746789885,0.8586309523809523
4,0.35617414544970466,0.2235572178663272,0.14829155323485307,0.10110099906669424,0.1623363990086227,0.2994414102963834,0.23569274671905963,0.8497023809523809
5,0.34210660251655645,0.2153549805478798,0.1433499308956257,0.09588797592393354,0.15814046873111134,0.29607983759739026,0.19840302314889133,0.8598214285714286
6,0.3636441729952847,0.2342973445466179,0.16001853644093403,0.10796541703665587,0.16756914096754966,0.3155456749709824,0.3407056752290354,0.8663690476190476
7,0.35344746755197853,0.22612187990741708,0.15545626753550384,0.1106449679186308,0.16395683159088603,0.3113207502715318,0.35509927574794475,0.8571428571428571
8,0.3390773370098876,0.21593819863964767,0.14641224067291764,0.10211497149194894,0.16086107287094845,0.3017745976249376,0.3386753568535429,0.8577380952380952
9,0.3434582257927354,0.21205612789199393,0.1409392211002718,0.09544501704058046,0.15701632550928418,0.2980239332472252,0.35794611853375435,0.8589285714285714
10,0.33884591520620233,0.21598870852108126,0.14912956484412213,0.10782622066832274,0.15867346062560403,0.3110471207606803,0.4874028863424235,0.8711309523809524
11,0.35806153954764364,0.22423484924778397,0.14648390142883322,0.09439032744984331,0.16780317331743091,0.30555621144416245,0.23462467777466606,0.8636904761904762
12,0.33641629295679365,0.20670950554736084,0.1348519298173193,0.0886155796391571,0.1555055165849061,0.29607331374497814,0.26583280713048857,0.8625
13,0.34824334225759507,0.21712442112245758,0.14296438458540348,0.09401926581446138,0.15920894351391515,0.3045963195046673,0.29935121841511575,0.8669642857142857
14,0.3432429260844908,0.21433935916358757,0.14345759377257297,0.09869134076967967,0.15811576392398158,0.2988428346825913,0.3371200261656657,0.8589285714285714
15,0.34927659751756074,0.22496841734720446,0.155090046676669,0.10958588760496077,0.16411321192583805,0.3140910767046872,0.3853824015214619,0.8678571428571429
16,0.34189780508964923,0.2187219122375175,0.1480438728732376,0.10229908171150058,0.1602093632799388,0.30743607306544907,0.289589314363905,0.8520833333333333
17,0.3521447465118516,0.22015732958845716,0.14465796527956942,0.09614861737390418,0.16119597213242742,0.3032563337823155,0.312655747538743,0.8589285714285714
18,0.346047266716733,0.22290680366281165,0.1540580529894033,0.1102357229232847,0.1601611360255393,0.30187397362424495,0.3753102185434958,0.8541666666666666
19,0.3423557269831019,0.21691843703713448,0.14793309311587144,0.10532486832374878,0.16054607813326888,0.305448974005305,0.3645169410705408,0.8636904761904762
20,0.34529486868254605,0.21780020395223815,0.14192807544070757,0.09261848248395432,0.1611214884828397,0.2987809163238554,0.223123913034286,0.8645833333333334
21,0.33798197900699306,0.2080429008781419,0.13660308882690245,0.09139869649501463,0.15622863183676164,0.29352560137246153,0.3162507683336424,0.8550595238095238
22,0.330479481008919,0.2084196998501421,0.13873374784912815,0.09430828348969908,0.15343366710235914,0.2913613112171085,0.2586641604889943,0.8633928571428572
23,0.3435789675691335,0.22061260498429403,0.1519201979259733,0.10901380761322858,0.16290098187014526,0.310781053121605,0.4402749759477474,0.8651785714285715
24,0.3271692022326324,0.2030043841845452,0.131892033312436,0.08596258867490185,0.15216340736690573,0.2882190475010554,0.2979642404986725,0.8708333333333333
25,0.36752791897831716,0.23385089630528305,0.15640547821981582,0.10618821790759989,0.16814453272954444,0.30715364745211626,0.32799877281521245,0.8598214285714286
26,0.3354861033491005,0.2117153847743345,0.1405145748785324,0.09218453424666372,0.1543218978548171,0.30018803464576166,0.23623841029270867,0.8627976190476191
27,0.3402588509820537,0.21435888842441853,0.14293916359513684,0.0981390673757625,0.15903300232275017,0.30527193553407045,0.35457152904415906,0.8693452380952381
28,0.3705080929681304,0.23665628320077245,0.1593583572300826,0.10820661357105756,0.16780183144005845,0.3073625913017104,0.21708343992660767,0.861904761904762
29,0.3436769933811983,0.22148785554234152,0.15184985981054297,0.10590168757133084,0.16226010033049246,0.30599749210743427,0.31595088553371736,0.8669642857142857
30,0.34236754085450993,0.21816240677715384,0.14838950361932893,0.10265092229874082,0.159136520722841,0.30972546365615644,0.3997305937490892,0.8580357142857142
31,0.33897910506328865,0.2148752530622674,0.14331240468747802,0.09659223914508451,0.15920177517375753,0.3018538206306986,0.2365087356445743,0.8538690476190476
32,0.3440690217850505,0.211064560874953,0.13747922578392907,0.08944799247042724,0.15787554496846196,0.2997435518091619,0.26921130687741385,0.8720238095238095
33,0.3550772373007419,0.22325411166356543,0.1491437408983669,0.10116125072747409,0.16203949885110863,0.3063987892601352,0.2962310347357153,0.8479166666666667
34,0.38380476027724764,0.2459014700818726,0.16616676186961848,0.11343098572376538,0.17216277251667966,0.31674788098349244,0.32869948708233293,0.8717261904761905
35,0.3614414406396071,0.23266807915571963,0.15686748666792655,0.10589085119942503,0.1679421693506364,0.3185023509620927,0.3669855610051643,0.8648809523809524
36,0.3417734540799914,0.2196761807990954,0.1495096198874866,0.10548623522011775,0.1612807890879749,0.31699895770964637,0.46874915991860144,0.8580357142857142
37,0.33931802041554987,0.2084880413608694,0.13670584597797739,0.09191244618537996,0.156025185758745,0.300252565120495,0.269189318761939,0.8613095238095239
38,0.3491670614540985,0.22243084315529824,0.15017955803779762,0.10313050457006635,0.1601662667742236,0.3033077806221833,0.3720793333584063,0.8479166666666667
