,MRA,base,base2
557,0.186,0.191,0.221
558,0.18,0.184,0.211
559,0.187,0.191,0.222
560,0.183,0.18,0.212
561,0.184,0.187,0.214
562,0.186,0.184,0.215
563,0.189,0.189,0.22
564,0.184,0.186,0.217
565,0.184,0.187,0.217
566,0.174,0.181,0.208
567,0.183,0.187,0.214
568,0.192,0.189,0.22
569,0.185,0.183,0.214
570,0.184,0.186,0.215
571,0.188,0.188,0.216
572,0.179,0.179,0.208
573,0.187,0.191,0.219
574,0.182,0.186,0.212
575,0.186,0.188,0.218
576,0.191,0.19,0.22
577,0.179,0.181,0.212
578,0.184,0.185,0.214
579,0.189,0.19,0.219
580,0.178,0.179,0.21
581,0.184,0.185,0.216
582,0.187,0.185,0.216
583,0.183,0.186,0.215
584,0.181,0.184,0.213
585,0.181,0.187,0.212
586,0.178,0.18,0.208
587,0.18,0.182,0.21
588,0.18,0.187,0.212
589,0.194,0.193,0.224
590,0.178,0.181,0.208
591,0.182,0.186,0.215
592,0.188,0.186,0.217
593,0.182,0.183,0.213
594,0.186,0.186,0.216
595,0.189,0.186,0.218
596,0.18,0.179,0.208
597,0.181,0.185,0.211
598,0.185,0.183,0.214
599,0.179,0.182,0.213
600,0.187,0.186,0.217
601,0.182,0.184,0.213
602,0.181,0.186,0.214
603,0.183,0.18,0.211
604,0.179,0.184,0.209
605,0.18,0.184,0.21
606,0.183,0.184,0.214
607,0.187,0.192,0.223
608,0.182,0.182,0.208
609,0.187,0.185,0.214
610,0.183,0.183,0.212
611,0.188,0.187,0.219
612,0.19,0.191,0.219
613,0.182,0.183,0.212
614,0.184,0.186,0.216
615,0.179,0.185,0.212
616,0.183,0.185,0.215
617,0.185,0.188,0.216
618,0.18,0.186,0.211
619,0.186,0.185,0.218
620,0.185,0.187,0.217
621,0.184,0.184,0.214
622,0.185,0.184,0.212
623,0.182,0.18,0.21
624,0.179,0.177,0.207
625,0.185,0.19,0.218
626,0.181,0.18,0.212
627,0.181,0.183,0.211
628,0.18,0.181,0.21
629,0.184,0.185,0.215
630,0.181,0.181,0.212
631,0.191,0.191,0.221
632,0.179,0.181,0.211
633,0.19,0.195,0.223
634,0.182,0.185,0.216
635,0.182,0.185,0.214
636,0.178,0.181,0.211
637,0.179,0.183,0.211
638,0.181,0.177,0.21
639,0.184,0.187,0.212
640,0.191,0.189,0.222
641,0.188,0.191,0.221
642,0.182,0.188,0.215
643,0.184,0.181,0.211
644,0.179,0.181,0.21
645,0.183,0.185,0.213
646,0.189,0.191,0.22
647,0.182,0.183,0.212
648,0.177,0.183,0.209
649,0.187,0.192,0.218
650,0.182,0.184,0.213
651,0.187,0.189,0.219
652,0.185,0.188,0.219
653,0.184,0.192,0.218
654,0.191,0.195,0.226
655,0.186,0.185,0.216
656,0.183,0.186,0.214
657,0.177,0.178,0.208
658,0.182,0.183,0.211
659,0.18,0.18,0.21
660,0.177,0.181,0.211
661,0.184,0.186,0.213
662,0.183,0.182,0.21
663,0.18,0.188,0.214
664,0.185,0.185,0.216
665,0.184,0.186,0.216
666,0.185,0.185,0.212
667,0.18,0.186,0.212
668,0.184,0.177,0.212
669,0.184,0.188,0.213
670,0.191,0.186,0.218
671,0.186,0.186,0.215
672,0.186,0.185,0.214
673,0.184,0.184,0.213
674,0.189,0.187,0.22
675,0.179,0.18,0.211
676,0.185,0.184,0.213
677,0.179,0.186,0.217
678,0.185,0.187,0.214
679,0.178,0.182,0.211
680,0.184,0.186,0.214
681,0.194,0.192,0.224
682,0.18,0.181,0.208
683,0.184,0.186,0.214
684,0.179,0.179,0.21
685,0.176,0.179,0.208
686,0.19,0.19,0.221
687,0.191,0.189,0.22
688,0.177,0.182,0.208
689,0.177,0.179,0.207
690,0.177,0.18,0.211
691,0.189,0.189,0.22
692,0.18,0.183,0.211
693,0.183,0.187,0.212
694,0.182,0.185,0.214
695,0.185,0.185,0.216
696,0.185,0.187,0.217
697,0.184,0.184,0.213
698,0.181,0.183,0.212
699,0.191,0.188,0.22
700,0.18,0.181,0.212
701,0.185,0.185,0.214
702,0.184,0.184,0.215
703,0.185,0.184,0.213
704,0.188,0.19,0.217
705,0.184,0.184,0.215
706,0.184,0.186,0.215
707,0.185,0.185,0.214
708,0.183,0.185,0.212
709,0.184,0.189,0.215
710,0.184,0.186,0.214
711,0.182,0.184,0.213
712,0.185,0.186,0.216
713,0.188,0.188,0.216
714,0.176,0.18,0.207
715,0.178,0.18,0.207
716,0.184,0.187,0.217
717,0.189,0.193,0.224
718,0.182,0.184,0.212
