,SAT,base,base2
227,0.353,0.443,0.501
228,0.337,0.42,0.496
229,0.344,0.434,0.507
230,0.343,0.442,0.509
231,0.354,0.432,0.499
232,0.344,0.434,0.506
233,0.35,0.439,0.511
234,0.344,0.437,0.507
235,0.367,0.451,0.518
236,0.341,0.423,0.493
237,0.356,0.44,0.508
238,0.344,0.441,0.514
239,0.348,0.444,0.511
240,0.359,0.45,0.499
241,0.362,0.448,0.515
242,0.354,0.442,0.51
243,0.36,0.444,0.503
244,0.354,0.437,0.508
245,0.343,0.441,0.508
246,0.34,0.442,0.513
247,0.35,0.449,0.505
248,0.362,0.446,0.51
249,0.359,0.439,0.505
250,0.359,0.447,0.504
251,0.339,0.426,0.492
252,0.37,0.447,0.509
253,0.335,0.432,0.499
254,0.347,0.433,0.501
255,0.356,0.437,0.504
256,0.34,0.419,0.493
257,0.347,0.436,0.507
258,0.34,0.425,0.497
259,0.338,0.428,0.496
260,0.342,0.438,0.508
261,0.351,0.444,0.511
262,0.344,0.436,0.505
263,0.346,0.439,0.507
264,0.352,0.445,0.517
265,0.353,0.438,0.51
266,0.349,0.438,0.51
267,0.358,0.446,0.517
268,0.344,0.424,0.489
269,0.339,0.422,0.491
270,0.33,0.42,0.487
271,0.346,0.426,0.499
272,0.35,0.444,0.513
273,0.361,0.444,0.512
274,0.344,0.426,0.499
275,0.361,0.455,0.513
276,0.346,0.448,0.514
277,0.339,0.437,0.507
278,0.348,0.441,0.515
279,0.339,0.429,0.5
280,0.345,0.439,0.51
281,0.353,0.439,0.512
282,0.337,0.428,0.497
283,0.337,0.432,0.502
284,0.342,0.434,0.506
285,0.361,0.439,0.507
286,0.339,0.434,0.499
287,0.353,0.434,0.508
288,0.34,0.424,0.49
289,0.343,0.425,0.499
290,0.346,0.442,0.508
291,0.361,0.453,0.503
292,0.342,0.427,0.5
293,0.357,0.454,0.515
294,0.353,0.448,0.515
295,0.35,0.43,0.502
296,0.353,0.447,0.516
297,0.338,0.426,0.495
298,0.342,0.441,0.512
299,0.37,0.465,0.508
300,0.34,0.425,0.495
301,0.353,0.445,0.512
302,0.364,0.445,0.515
303,0.333,0.421,0.489
304,0.357,0.444,0.51
305,0.341,0.439,0.509
306,0.344,0.434,0.504
307,0.34,0.434,0.509
308,0.359,0.439,0.513
309,0.325,0.431,0.498
310,0.337,0.422,0.494
311,0.349,0.433,0.503
312,0.337,0.43,0.498
313,0.346,0.443,0.518
314,0.34,0.43,0.503
315,0.348,0.435,0.513
316,0.347,0.423,0.494
