,MRA,base,base2
227,0.343,0.454,0.515
228,0.343,0.427,0.502
229,0.336,0.419,0.491
230,0.339,0.428,0.495
231,0.34,0.446,0.515
232,0.346,0.44,0.512
233,0.345,0.435,0.505
234,0.333,0.447,0.497
235,0.335,0.448,0.508
236,0.347,0.43,0.498
237,0.336,0.431,0.501
238,0.343,0.427,0.502
239,0.35,0.433,0.502
240,0.341,0.437,0.508
241,0.339,0.434,0.505
242,0.327,0.43,0.495
243,0.342,0.444,0.51
244,0.345,0.448,0.51
245,0.345,0.444,0.507
246,0.344,0.443,0.517
247,0.334,0.452,0.501
248,0.347,0.453,0.507
249,0.348,0.433,0.498
250,0.339,0.441,0.514
251,0.334,0.445,0.507
252,0.35,0.45,0.515
253,0.328,0.438,0.502
254,0.342,0.438,0.514
255,0.335,0.444,0.507
256,0.346,0.445,0.509
257,0.357,0.437,0.51
258,0.348,0.421,0.495
259,0.334,0.44,0.503
260,0.342,0.456,0.514
261,0.339,0.45,0.51
262,0.346,0.448,0.516
263,0.333,0.436,0.507
264,0.34,0.439,0.513
265,0.343,0.449,0.507
266,0.338,0.438,0.507
267,0.332,0.446,0.506
268,0.338,0.437,0.508
269,0.343,0.441,0.506
270,0.335,0.439,0.504
271,0.34,0.467,0.509
272,0.336,0.428,0.5
273,0.346,0.434,0.504
274,0.337,0.434,0.503
275,0.339,0.44,0.508
276,0.337,0.438,0.505
277,0.334,0.432,0.499
278,0.342,0.445,0.512
279,0.338,0.425,0.492
280,0.34,0.43,0.504
281,0.339,0.434,0.505
282,0.344,0.431,0.505
283,0.324,0.445,0.495
284,0.332,0.448,0.513
285,0.35,0.439,0.51
286,0.333,0.432,0.499
287,0.341,0.423,0.494
288,0.339,0.444,0.509
289,0.338,0.448,0.512
290,0.334,0.436,0.506
291,0.328,0.414,0.479
292,0.34,0.439,0.512
293,0.345,0.425,0.494
294,0.343,0.437,0.508
295,0.35,0.442,0.512
296,0.342,0.434,0.507
297,0.346,0.441,0.511
298,0.334,0.422,0.496
299,0.341,0.437,0.507
300,0.334,0.432,0.507
301,0.341,0.43,0.5
302,0.338,0.45,0.51
303,0.336,0.427,0.497
304,0.342,0.445,0.512
305,0.342,0.442,0.508
306,0.34,0.443,0.515
307,0.346,0.44,0.507
308,0.338,0.436,0.499
309,0.332,0.429,0.497
310,0.34,0.415,0.488
311,0.339,0.431,0.501
312,0.339,0.442,0.508
313,0.337,0.441,0.507
314,0.332,0.443,0.503
315,0.343,0.422,0.495
316,0.329,0.446,0.501
317,0.335,0.423,0.493
318,0.351,0.446,0.519
319,0.335,0.458,0.506
320,0.346,0.441,0.511
321,0.343,0.443,0.516
322,0.341,0.445,0.504
323,0.334,0.437,0.505
324,0.331,0.436,0.501
325,0.349,0.45,0.512
326,0.343,0.433,0.5
327,0.343,0.437,0.505
328,0.338,0.445,0.508
329,0.344,0.435,0.503
330,0.342,0.434,0.509
331,0.342,0.444,0.502
332,0.341,0.439,0.502
333,0.339,0.437,0.507
334,0.337,0.435,0.507
335,0.339,0.435,0.512
336,0.35,0.416,0.488
337,0.332,0.445,0.496
338,0.336,0.423,0.493
339,0.341,0.438,0.506
340,0.344,0.432,0.502
341,0.339,0.435,0.506
342,0.345,0.445,0.512
343,0.347,0.435,0.507
344,0.352,0.45,0.524
345,0.334,0.416,0.495
346,0.338,0.433,0.502
347,0.346,0.433,0.507
348,0.349,0.426,0.495
349,0.344,0.443,0.51
350,0.331,0.438,0.501
351,0.337,0.449,0.498
352,0.346,0.433,0.506
