,SAT,base,base2
904,0.157,0.178,0.206
905,0.157,0.181,0.209
906,0.164,0.186,0.215
907,0.165,0.181,0.212
908,0.155,0.178,0.208
909,0.156,0.184,0.213
910,0.169,0.189,0.22
911,0.157,0.175,0.205
912,0.163,0.189,0.217
913,0.161,0.186,0.213
914,0.157,0.184,0.216
915,0.157,0.178,0.207
916,0.162,0.182,0.21
917,0.158,0.181,0.21
918,0.157,0.185,0.215
919,0.162,0.187,0.216
920,0.155,0.182,0.211
921,0.157,0.182,0.212
922,0.169,0.194,0.222
923,0.163,0.185,0.213
924,0.163,0.186,0.212
925,0.162,0.185,0.213
926,0.166,0.187,0.218
927,0.153,0.18,0.207
928,0.162,0.184,0.213
929,0.161,0.183,0.209
930,0.159,0.183,0.214
931,0.159,0.18,0.21
932,0.157,0.182,0.213
933,0.162,0.184,0.213
934,0.161,0.182,0.212
935,0.16,0.183,0.21
936,0.163,0.19,0.22
937,0.163,0.189,0.217
938,0.16,0.182,0.211
939,0.17,0.193,0.224
940,0.157,0.183,0.21
941,0.161,0.181,0.214
942,0.16,0.178,0.209
943,0.163,0.181,0.213
944,0.164,0.181,0.211
945,0.163,0.187,0.219
946,0.152,0.179,0.206
947,0.162,0.184,0.214
948,0.159,0.182,0.211
949,0.163,0.183,0.213
950,0.156,0.183,0.213
951,0.163,0.185,0.215
952,0.164,0.186,0.214
953,0.155,0.181,0.209
954,0.155,0.179,0.21
955,0.165,0.189,0.218
956,0.168,0.19,0.221
957,0.158,0.188,0.216
958,0.165,0.188,0.219
959,0.159,0.185,0.216
960,0.16,0.185,0.214
961,0.158,0.181,0.21
962,0.162,0.187,0.217
963,0.158,0.182,0.212
964,0.159,0.182,0.211
965,0.16,0.182,0.211
966,0.165,0.189,0.22
967,0.167,0.19,0.222
968,0.165,0.185,0.221
969,0.162,0.185,0.216
970,0.165,0.186,0.215
971,0.163,0.188,0.216
972,0.163,0.183,0.213
973,0.158,0.181,0.214
974,0.163,0.183,0.214
975,0.165,0.186,0.218
976,0.161,0.187,0.216
977,0.16,0.188,0.219
978,0.157,0.181,0.21
979,0.163,0.189,0.221
980,0.16,0.179,0.21
981,0.159,0.181,0.207
982,0.159,0.181,0.21
983,0.16,0.182,0.215
984,0.159,0.179,0.209
985,0.162,0.19,0.22
986,0.161,0.175,0.205
987,0.159,0.179,0.206
988,0.158,0.181,0.209
989,0.156,0.179,0.209
990,0.161,0.18,0.211
991,0.168,0.19,0.222
992,0.156,0.18,0.209
993,0.169,0.187,0.217
994,0.164,0.184,0.216
