,MRA,base3
279,0.184,0.169
280,0.179,0.163
281,0.177,0.161
282,0.183,0.164
283,0.182,0.168
284,0.181,0.163
285,0.179,0.163
286,0.186,0.17
287,0.186,0.172
288,0.183,0.166
289,0.182,0.167
290,0.19,0.169
291,0.185,0.166
292,0.18,0.163
293,0.182,0.168
294,0.188,0.171
295,0.182,0.165
296,0.182,0.166
297,0.183,0.165
298,0.184,0.166
299,0.181,0.167
300,0.179,0.167
301,0.171,0.16
302,0.179,0.162
303,0.182,0.163
304,0.181,0.163
305,0.187,0.171
306,0.185,0.168
307,0.184,0.162
308,0.188,0.171
309,0.184,0.167
310,0.174,0.162
311,0.184,0.169
312,0.184,0.167
313,0.188,0.169
314,0.185,0.164
315,0.184,0.169
316,0.181,0.166
317,0.18,0.164
318,0.181,0.163
319,0.185,0.167
320,0.183,0.17
321,0.178,0.163
322,0.182,0.165
323,0.183,0.167
324,0.185,0.168
325,0.177,0.163
326,0.182,0.166
327,0.18,0.164
328,0.184,0.167
329,0.186,0.168
330,0.182,0.172
331,0.182,0.164
332,0.184,0.168
333,0.186,0.17
334,0.174,0.164
335,0.183,0.163
336,0.185,0.165
337,0.182,0.168
338,0.183,0.168
339,0.175,0.166
340,0.184,0.17
341,0.181,0.165
342,0.186,0.169
343,0.182,0.168
344,0.181,0.165
345,0.184,0.166
346,0.181,0.164
347,0.19,0.172
348,0.182,0.166
349,0.18,0.165
350,0.183,0.167
351,0.188,0.171
352,0.181,0.168
353,0.178,0.163
354,0.184,0.17
355,0.186,0.172
356,0.179,0.161
357,0.189,0.171
358,0.18,0.169
359,0.182,0.164
360,0.183,0.166
361,0.179,0.162
362,0.182,0.171
363,0.179,0.167
364,0.183,0.166
365,0.187,0.172
366,0.18,0.168
367,0.187,0.169
368,0.182,0.168
369,0.182,0.166
370,0.184,0.168
371,0.182,0.168
372,0.184,0.165
373,0.184,0.163
374,0.185,0.166
375,0.181,0.166
376,0.185,0.165
377,0.179,0.166
378,0.188,0.173
379,0.185,0.167
380,0.189,0.172
381,0.189,0.168
382,0.183,0.162
383,0.182,0.163
384,0.181,0.168
385,0.178,0.167
386,0.178,0.167
387,0.179,0.167
388,0.184,0.169
389,0.175,0.158
390,0.177,0.161
391,0.185,0.169
392,0.18,0.165
393,0.184,0.168
394,0.183,0.17
395,0.191,0.17
396,0.184,0.17
397,0.18,0.166
398,0.182,0.163
399,0.182,0.168
400,0.18,0.167
401,0.18,0.165
402,0.191,0.171
403,0.175,0.164
404,0.187,0.166
405,0.191,0.171
406,0.183,0.169
407,0.18,0.166
408,0.185,0.165
409,0.18,0.167
410,0.186,0.168
411,0.183,0.169
412,0.186,0.166
413,0.184,0.171
414,0.179,0.164
415,0.18,0.166
416,0.183,0.167
417,0.181,0.163
418,0.181,0.17
419,0.185,0.169
420,0.182,0.17
421,0.187,0.172
422,0.18,0.165
423,0.183,0.161
424,0.178,0.164
425,0.179,0.158
426,0.184,0.166
427,0.186,0.167
428,0.176,0.16
429,0.175,0.159
430,0.181,0.165
431,0.184,0.166
432,0.175,0.16
433,0.184,0.164
434,0.18,0.165
435,0.188,0.17
436,0.184,0.164
437,0.189,0.172
438,0.183,0.164
439,0.184,0.166
440,0.184,0.169
441,0.185,0.165
442,0.185,0.168
443,0.185,0.163
444,0.185,0.171
445,0.179,0.161
446,0.187,0.166
447,0.18,0.165
448,0.184,0.171
449,0.184,0.17
450,0.182,0.162
451,0.174,0.164
452,0.18,0.166
453,0.182,0.169
454,0.182,0.169
455,0.187,0.169
456,0.187,0.17
457,0.184,0.168
458,0.19,0.172
459,0.184,0.167
460,0.184,0.163
461,0.184,0.17
462,0.181,0.167
463,0.183,0.165
464,0.18,0.164
465,0.185,0.168
466,0.183,0.166
467,0.182,0.168
468,0.183,0.162
469,0.186,0.17
470,0.181,0.166
471,0.187,0.172
472,0.195,0.174
473,0.183,0.163
474,0.193,0.172
475,0.18,0.163
476,0.188,0.17
477,0.188,0.169
478,0.186,0.17
479,0.19,0.172
480,0.184,0.171
481,0.184,0.17
482,0.186,0.168
483,0.186,0.17
484,0.185,0.168
485,0.181,0.164
486,0.183,0.169
487,0.181,0.17
488,0.185,0.165
489,0.184,0.165
490,0.188,0.17
491,0.184,0.168
492,0.187,0.167
493,0.174,0.16
494,0.183,0.165
495,0.179,0.165
496,0.181,0.165
497,0.187,0.17
498,0.186,0.169
499,0.184,0.166
500,0.188,0.167
501,0.185,0.166
502,0.188,0.168
503,0.18,0.163
504,0.182,0.167
505,0.183,0.167
506,0.184,0.164
507,0.185,0.164
508,0.19,0.168
509,0.18,0.167
510,0.184,0.166
511,0.182,0.167
512,0.183,0.167
513,0.182,0.164
514,0.183,0.168
515,0.186,0.168
516,0.185,0.169
517,0.188,0.173
518,0.18,0.166
519,0.189,0.168
520,0.185,0.168
521,0.177,0.161
522,0.185,0.172
523,0.178,0.165
524,0.175,0.165
525,0.185,0.168
526,0.179,0.161
527,0.177,0.162
528,0.18,0.163
529,0.184,0.169
530,0.184,0.167
531,0.18,0.164
532,0.174,0.164
533,0.181,0.164
534,0.179,0.163
535,0.184,0.167
536,0.183,0.164
537,0.183,0.17
538,0.178,0.162
539,0.184,0.17
540,0.183,0.166
541,0.182,0.164
542,0.179,0.164
543,0.177,0.164
544,0.182,0.166
545,0.184,0.17
546,0.187,0.166
547,0.185,0.169
548,0.188,0.172
549,0.186,0.167
550,0.173,0.163
551,0.184,0.17
552,0.19,0.172
553,0.184,0.17
554,0.189,0.17
555,0.186,0.169
556,0.176,0.163
557,0.193,0.173
558,0.182,0.165
559,0.18,0.162
560,0.191,0.171
561,0.189,0.173
562,0.183,0.165
563,0.186,0.17
564,0.184,0.168
565,0.185,0.168
566,0.185,0.169
567,0.19,0.168
568,0.188,0.167
569,0.184,0.166
570,0.179,0.164
571,0.181,0.162
572,0.182,0.165
573,0.185,0.17
574,0.173,0.16
575,0.182,0.167
576,0.183,0.169
577,0.191,0.168
578,0.183,0.165
579,0.174,0.164
580,0.186,0.17
581,0.184,0.168
582,0.184,0.167
583,0.184,0.166
584,0.177,0.165
585,0.187,0.173
586,0.185,0.165
587,0.184,0.169
588,0.181,0.163
589,0.18,0.167
590,0.186,0.166
591,0.183,0.168
592,0.183,0.168
593,0.182,0.166
594,0.181,0.167
595,0.186,0.172
596,0.184,0.17
597,0.18,0.165
598,0.18,0.168
599,0.185,0.168
600,0.187,0.172
601,0.181,0.165
602,0.185,0.166
603,0.185,0.172
604,0.183,0.167
605,0.186,0.171
606,0.186,0.17
607,0.177,0.162
608,0.182,0.171
609,0.193,0.173
610,0.185,0.167
611,0.184,0.17
612,0.184,0.17
613,0.185,0.169
614,0.179,0.167
615,0.182,0.164
616,0.181,0.168
617,0.18,0.167
618,0.182,0.166
619,0.19,0.174
620,0.183,0.162
621,0.185,0.168
622,0.187,0.169
623,0.183,0.166
624,0.186,0.168
625,0.181,0.165
626,0.186,0.17
627,0.182,0.166
628,0.178,0.159
629,0.181,0.168
630,0.179,0.165
631,0.183,0.169
632,0.179,0.161
633,0.174,0.162
634,0.18,0.168
635,0.181,0.163
636,0.189,0.168
637,0.184,0.164
638,0.184,0.171
639,0.185,0.165
640,0.187,0.169
641,0.176,0.164
642,0.182,0.164
